GENE_NAME	ANNOT
NLK	"negative regulation of Wnt receptor signaling pathway;serine phosphorylation of STAT3 protein;MAPK cascade;protein autophosphorylation;regulation of transcription, DNA-dependent;protein phosphorylation;transforming growth factor beta receptor signaling pathway;intracellular protein kinase cascade;peptidyl-threonine phosphorylation"
NLN	proteolysis
NLRC3	I-kappaB kinase/NF-kappaB cascade;negative regulation of NF-kappaB transcription factor activity;T cell activation
NLRC4	"inflammatory response;detection of bacterium;nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway;defense response to bacterium;positive regulation of apoptotic process;regulation of cysteine-type endopeptidase activity involved in apoptotic process;innate immune response;activation of cysteine-type endopeptidase activity involved in apoptotic process;interleukin-1 beta secretion"
NLRC5	defense response to virus;positive regulation of interferon-gamma-mediated signaling pathway;negative regulation of NF-kappaB transcription factor activity;negative regulation of type I interferon-mediated signaling pathway;negative regulation of type I interferon production;positive regulation of type I interferon-mediated signaling pathway;regulation of kinase activity;innate immune response;positive regulation of MHC class I biosynthetic process;positive regulation of transcription from RNA polymerase II promoter
NLRP1	"defense response to bacterium;regulation of apoptotic process;innate immune response;positive regulation of interleukin-1 beta secretion;induction of apoptosis;regulation of inflammatory response;activation of cysteine-type endopeptidase activity involved in apoptotic process;neuron apoptosis;response to muramyl dipeptide;nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway"
NLRP10	-
NLRP11	oxidation-reduction process
NLRP12	negative regulation of protein autophosphorylation;positive regulation of inflammatory response;negative regulation of I-kappaB kinase/NF-kappaB cascade;regulation of interleukin-18 biosynthetic process;negative regulation of interleukin-6 biosynthetic process;activation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of Toll signaling pathway;signal transduction;negative regulation of cytokine secretion;release of cytoplasmic sequestered NF-kappaB;negative regulation of interleukin-1 secretion;negative regulation of signal transduction;positive regulation of interleukin-1 beta secretion
NLRP13	-
NLRP14	cell differentiation;multicellular organismal development;spermatogenesis
NLRP2	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of interleukin-1 beta secretion
NLRP2P	-
NLRP3	"defense response;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;inflammatory response;innate immune response;signal transduction;interleukin-1 secretion;detection of biotic stimulus;positive regulation of interleukin-1 beta secretion;negative regulation of NF-kappaB transcription factor activity;protein oligomerization;interleukin-18 production;defense response to virus;induction of apoptosis;nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway;activation of cysteine-type endopeptidase activity involved in apoptotic process;negative regulation of NF-kappaB import into nucleus"
NLRP4	-
NLRP5	-
NLRP6	regulation of inflammatory response
NLRP7	-
NLRP8	-
NLRP9	-
NLRX1	negative regulation of type I interferon production;interspecies interaction between organisms;innate immune response
NMB	neuropeptide signaling pathway;cell-cell signaling;signal transduction
NMBR	G-protein coupled receptor signaling pathway;activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger;bombesin receptor signaling pathway
NMD3	protein transport
NMD3P1	-
NME1	UTP biosynthetic process;cell differentiation;CTP biosynthetic process;response to drug;endocytosis;regulation of apoptotic process;nervous system development;positive regulation of DNA binding;lactation;small molecule metabolic process;negative regulation of myeloid leukocyte differentiation;negative regulation of cell proliferation;positive regulation of epithelial cell proliferation;nucleoside diphosphate phosphorylation;nucleotide metabolic process;response to cAMP;GTP biosynthetic process;nucleobase-containing small molecule interconversion;nucleobase-containing small molecule metabolic process
NME1-NME2	CTP biosynthetic process;GTP biosynthetic process;UTP biosynthetic process
NME2P1	nucleotide metabolic process;GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process
NME3	UTP biosynthetic process;CTP biosynthetic process;apoptotic process;induction of apoptosis;nucleotide metabolic process;GTP biosynthetic process
NME4	CTP biosynthetic process;nucleoside metabolic process;nucleotide metabolic process;nucleobase-containing small molecule interconversion;small molecule metabolic process;nucleoside diphosphate phosphorylation;nucleobase-containing small molecule metabolic process;GTP biosynthetic process;UTP biosynthetic process
NME5	GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;anti-apoptosis;multicellular organismal development;spermatogenesis;spermatid development;nucleoside diphosphate phosphorylation;nucleoside metabolic process
NME6	CTP biosynthetic process;apoptotic process;anti-apoptosis;nucleotide metabolic process;nucleoside triphosphate biosynthetic process;nucleoside diphosphate phosphorylation;negative regulation of cell growth;GTP biosynthetic process;negative regulation of mitosis;UTP biosynthetic process
NME7	GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;nucleotide metabolic process
NME8	-
NME9	GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;cell redox homeostasis
NMI	transcription from RNA polymerase II promoter;inflammatory response;JAK-STAT cascade
NMNAT1	water-soluble vitamin metabolic process;biosynthetic process;NAD biosynthetic process;pyridine nucleotide biosynthetic process;NAD metabolic process;neuroprotection;small molecule metabolic process;vitamin metabolic process
NMNAT2	vitamin metabolic process;water-soluble vitamin metabolic process;biosynthetic process;NAD biosynthetic process;pyridine nucleotide biosynthetic process;NAD metabolic process;small molecule metabolic process
NMNAT3	small molecule metabolic process;vitamin metabolic process;water-soluble vitamin metabolic process;biosynthetic process;NAD biosynthetic process;pyridine nucleotide biosynthetic process;NAD metabolic process;neuroprotection
NMNATP	-
NMRAL1	-
NMRK1	pyridine nucleotide biosynthetic process
NMRK2	-
NMS	regulation of smooth muscle contraction;neuropeptide signaling pathway;locomotor rhythm
NMT1	N-terminal protein myristoylation;apoptotic process;induction of apoptosis by intracellular signals;activation of pro-apoptotic gene products;protein lipoylation;viral reproduction;in utero embryonic development;N-terminal protein lipidation
NMT2	N-terminal protein myristoylation;protein lipoylation;viral reproduction;egress of virus within host cell
